Dataset,Model,Accuracy,Precision,Recall,F1-score,AUC
PCA Dataset,Logistic Regression,0.8833333333333333,0.84,0.875,0.8571428571428571,0.9409722222222223
PCA Dataset,Decision Tree,0.7333333333333333,0.6818181818181818,0.625,0.6521739130434783,0.7152777777777778
PCA Dataset,Random Forest,0.8666666666666667,0.8636363636363636,0.7916666666666666,0.8260869565217391,0.9322916666666666
PCA Dataset,SVM,0.9,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9537037037037037
Feature-Selected Dataset,Logistic Regression,0.9166666666666666,0.88,0.9166666666666666,0.8979591836734694,0.9525462962962963
Feature-Selected Dataset,Decision Tree,0.7833333333333333,0.6896551724137931,0.8333333333333334,0.7547169811320755,0.7916666666666666
Feature-Selected Dataset,Random Forest,0.8166666666666667,0.7407407407407407,0.8333333333333334,0.7843137254901961,0.920138888888889
Feature-Selected Dataset,SVM,0.7666666666666667,0.75,0.625,0.6818181818181818,0.8148148148148148
